Entity,average_probability
the US suggesting lifting the weapons embargo to Bosnia-Herzegovina,0
equipment,1800000000
"his level of remuneration such as ""division leader level",0
FBI Special Agent Emma Hollis,9
videos,8230000000
"the scandal, which paralysed parliament for the entire winter session, saying other independent investigations were probing the allegations",0
Florida law,4750000
a French citizen,245000
flour,240000000
Iambe,22500
Everybody,447000000
the de-emphasis of central areas,0
the Shire of Northern Grampians,821
his off-spin,28800
#NAME?,0
Sony,310000000
small groups of British-trained Albanians,3
the country's first ever participation in the Winter Paralympic Games,0
just five minutes,68200000
Antoninus Pius,448000
countries,2550000000
a single accelerator,11700
the English Parliament,289000
an analogous event,4750
his cramped surroundings,46
Beijing West Road,12200
a problem,976000000
"The album track """,287000
all of their audio player technology,1
your mongrel cluster,4
policy,18220000000
tonight,730000000
"declines in the stock market and dollar, and a rally in bonds",0
Ashley Judd,2500000
The decline,135000000
stricter monitoring of their operations,3
Indian Ocean,217000000
"Eric Mink, writing for the New York Daily News",6
The Company,1210000000
"Emmanuel's ""La Chica de Humo """,69000
her Olympic exploits,2410
discussions with U.S. diplomats,18100
relationships,1920000000
Georgetown across the Potomac River,229
a two-day forum,41700
A gigantic robot,10100
many Japanese trading companies,1840
two Voyager spacecraft,16100
"Antonio Novello, whom Mr. Bush nominated to serve as surgeon general",0
a free download as the UK iTunes Store's' Single of the Week,2
The next stage,33400000
even minor offenses,11800
"Charles II, Duke of Lorraine",6720
the army,152000000
new stock or corporate debt,0
"his band, ""Josh White and the Carolinians """,14000
the Amiga,1200000
ruler of Egypt,936000
money funds,244000
their professional football careers end,3
Jonathan Ross and Paul Gambaccini,106
the gunfire,1090000
controversy,343000000
the Burmese military,99200
this Panhandle city,218
"The original stage design of Threepenny, by Caspar Neher",1
Kingswood Grammar School,659
Donoghue's,266000
consultations,323000000
this encouragement,304000
a decades-long struggle,33400
one,15930000000
friendly territory,94000
The objective,278000000
Democratic strength,23600
another theory,2770000
the first Albion player,340
the Chairman of the Executive Committee of the Riga City Soviet,3
northeast of Dali in Yunnan province,0
landslides and mudslides,84800
its name,204000000
a member of the Asian Network for Free Elections (ANFREL),4
"understanding, communication and friendship",3280
the time his talks with Mr. Pilson are completed later this month,0
our vessels,720000
Reuben Fine and Harry Golombek,9
several other agreements,98500
we,16650000000
minimum and maximum requirements on rake and trail,2
secret police and Army after Ceausescu,0
Kathleen,135000000
the Black Sea coast,954000
Xiang's capital of Pengcheng,5
The builders,12500000
the Iraqi authorities,99400
Wednesday,1030000000
a party,258000000
the second half of next year,409000
education of the medium,6
The Los Angles Times,7990
People in Taiwan,6050000
The county,144000000
training,3660000000
cinema,527000000
The first collision,119000
"The quarter-on-quarter growth, in line with market expectations",0
a broad network,806000
Some aspects of Brazilian culture,4680
Honduras,421000000
Figueroa-Feliciano,17400
increased violence,333000
the Israeli national football team,3420
The organisation,129000000
The trappings of success,137000
Stewart and former ImClone CEO Sam Waksal,0
the overthrow of the Swiss Confederation and the establishment of the Helvetic Republic,5
a rejection of revelation and miracles,8
The Audit Bureau of Circulations,45100
out of town,72000000
young men and women,23000000
number one,229000000
"St. Louis, Missouri",18900000
Ordinary Decent Criminal,18300
failure,1300000000
a power-sharing administration,2460
information given to Mr. Laff by another conspirator,0
an attempt,320000000
Regime change in Iraq,166000
the training center of Antonio Rodrigo Nogueira and Antonio Rogerio Nogueira,0
the top spot,20300000
Collie and Dardanup,232
Christine,292000000
princely states,824000
Abraham,215000000
One hundred years,15500000
E.ON's chief operating officer,6
the purchase of two old power plants from South Korea,0
"the first inning, that scored a run",5
the North Koreans,2260000
Archibald,21700000
the village of Bear Creek,9810
Farwell,5840000
the Japanese Ministry of Education,171000
Ali Duba,1450
any threat,20600000
five innocent civilians including three children and two women,0
morning,2050000000
The city,1280000000
gross anatomy and microscopic anatomy,11200
William,1260000000
direct entry,5550000
an interview,382000000
Norway,1170000000
"a play on words referring to Manchester City's fan anthem, Blue Moon",4
"South Ossetia, whose residents mostly have Russian passports",0
a poignant reminder of what might have been,5060
impunity,16300000
the Indian Ocean from Reunion,1110
its news bureaus,8420
a late update,35100
a major jazz festival,5590
elaborate outfits,70700
Three players,10800000
many others,218000000
evidence,2080000000
a ruling,13900000
a United flight,302000
Frequent clashes between the two European powerhouses over multi-billion-euro (dollar) bailout packages for Greece and then the wider eurozone,0
a final peace accord,9350
Glenn Ford and Nancy Kwan,5
the balance,342000000
Deputy Director of Central Intelligence,62100
a replacement,151000000
a corporate source,4740
Aceh governor Irwandi Yusuf,613
Weidiaunuo,1
Xiao Yi,498000
an ailing soprano,86
the majors,8520000
the slalom course,33300
an afternoon crowd in Bowling Green,0
the society,243000000
its professional,3790000
his lips,19600000
some substantive educational content to show visitors,1
"a grandfather, Sir Pelham Warren",0
western North America three beetles,7
one full year,1890000
"Walt Disney Television, titled Eloise at the Plaza and Eloise at Christmastime, starring Sofia Vassilieva as Eloise and Julie Andrews as Nanny",1
Next day,323000000
Heavy Rain,53600000
The planes that go to LaGuardia,1
Harris,1030000000
The result,1060000000
a matter of weeks,10800000
Gandhi's breakthrough,9
the roadmap and election plan,0
"a change in cell potential, that is, the difference of the electrical charge on both sides of the membrane",0
Frame,1040000000
Elizabeth of York,289000
The larvae,12200000
a remarkable experience,1290000
the federal government,193000000
excellent growth,570000
canon law,2680000
three months to clean up viral contamination that had been slowing production,0
money,4440000000
several battalions,28200
last month,348000000
equal access,30800000
US capital corporations,1
the votes,20000000
myself,948000000
a whole new level,27700000
Jared Taylor and Sam Francis,8
Fredrik Hogberg,5480
the US,2550000000
a motorcycle track,21500
"the second half, by which time he had been replaced, little more than a procession",0
the state,1570000000
support,11870000000
Wedding experts,163000
the provinces in the Philippines,112000
"a Hakka community in Calcutta, India of previous, considerable size",0
FEMSA,434000
his confession,1450000
Creative alternatives like Dvorak and more recently Swype still,0
troops,201000000
Spain,1650000000
the Advancement of Science and the Franklin Institute,6
work,11160000000
discussions of the Israeli-Palestinian conflict,31900
the Guantanamo Bay detention camp,17000
the group,764000000
"those in Manhattan and Brooklyn, N.Y., and New Jersey",0
Giovanardi,284000
her work,210000000
estimates by the tobacco industry yesterday,0
The airline's inaugural flight,7500
Archie Comics' characters,41900
the Senate,94900000
Modern artists,1190000
their compatriots,497000
Many Emancipados,8
Shaanxi,16100000
"ideas of Christianity, Russian patriotism, and Slavic unity",1
an interview published Monday,16900
his employer,15700000
the place trying to beat you out because most gamers,0
Creative Writing,87700000
the Shri Swaminarayan Mandir,11800
"Utility stocks, on the other hand",2370
The nerds outside of the club,1
"The first Marine to hold the billet as ""Assistant to the Commandant """,1
Many analysts,1890000
the country's troops,18100
"The Gandhara kingdom of the northwest, and the legendary Gandhara peoples",5
Islam,289000000
even the Red Delicious,7
The Devils,11600000
"the Norwegian parliament, Stortinget",4800
Karl Pearson,286000
two years of Leo's death,0
the proceedings,52800000
its lowest level,2560000
an American sculptor who studied with Auguste Rodin and Frederick William MacMonnies,2
His release,14900000
surviving male issue,4210
a career at a company,380000
The eastern border of Colorado with Nebraska and Kansas,2
studios in Manhattan,755000
the Bangladeshis,57800
businessmen,34300000
sons,599000000
"sellers, and particularly program traders",0
a Dutch microbiologist and biochemist,6
a railway station - Baarn railway station,1
the season-opening games,16600
the county border,106000
the end of their three-day summit Saturday,0
the oldest stone curved bridge,6
a Dame Commander of the Order of the British Empire (DBE),9030
Didelphidae,86700
the underwriter,907000
original,4800000000
Besson,5800000
Roman Empire,38300000
anniversary,1080000000
ah ah who were sent abroad,0
a nice big check,21200
one of the few Kiss songs written by Gene Simmons and Paul Stanley together,7
Ascot Park railway station,919
Hillgruber,80600
Ritual Entertainment,17600
"Sevenoaks, Kent following structural failure of the tailfin or rudder",0
Sotheby's International branches,2
Betsy Engelken,0
a step,434000000
the Ilmor Chevrolet program,1
the Jacobite Syriac Orthodox church,368
China,2020000000
the site of a hospital,2540000
additional austerity measures,4990
one sentence,17400000
his current deal,323000
political purposes,2320000
its economic policy,739000
races in Pennsylvania and Arkansas,3
his property,16400000
her first WTA Tour title,10400
formerly independent Estonia,3
a wide variety of vehicles with which to battle his enemies,3
Mr. Gorbachev,86600
This kind of opinion,2430000
Saab,58600000
Court records,19400000
The letter,273000000
Puerto Rico,462000000
Israel,1670000000
the snail's throat,6
Puerto Rico Telephone Co.,6030
poster stamps (advertising posters in collectible stamp form),3
the dental laboratory,763000
A friend,948000000
the arrest of the secretary general of the Popular Congress Party,3
the International Rules series in Ireland,667
abusive behavior,3210000
a sizable aid operation,1
coroner's officials,32000
her exploits,169000
The three female nominees,263
the country,1670000000
Saturday,1230000000
the end,2920000000
The only homers,344
a range of recipes,428000
the Quonset huts and other building,0
Montreal and Toronto,321000
the global financial crisis,10200000
his claims,6030000
news,11190000000
1983 Contest,1380
members of his party,3860000
UBS,22600000
carinal canals,1370
dealers,250000000
the temperate and tropical parts of Eurasia and parts of Australasia,192
color,3120000000
the Nazis,23000000
"five photos of George Bush, one of them featuring the First Dog, Millie",0
The split,51900000
terms of intimacy with James Mill and Francis Place,1
the Chrysler Corporation,117000
sensitive activities,147000
the national power grid on Friday,6
De Pedis,35800
secrecy,47900000
Lord Advocate,178000
a scholarship at Iona College,7
"a spread, or a filling in a lemon meringue pie",0
Mr. Wathen,4610
the Cleveland Browns,5330000
only a superb late stop by David James,2
The caustic spill--Hungary's worst ecological disaster,2
company receptions,4370
the Royal Engineers,558000
a small portion of northern Denton County,1
the Second World War,52000000
France,2520000000
the lion,95400000
the European Commission,143000000
County Durham,13100000
key national laboratories,6650
the Communist Party and most Han cadres,0
chancellor of Sharif University of Technology,1030
enough grain in the pipeline,0
this Mandelson,25
cables,219000000
addition to his solo work,51800
the railway platform,181000
Joshua Lawrence Chamberlain,37600
The First Sudanese Civil War,10500
No amount of scrimping and saving,114
They,14310000000
Clun Forest,22700
the club,216000000
Bayern Munich of West Germany in the European Cup final,2
"The McLean, Va., company",166
judges,285000000
"Fujian Province, located in southeast China's coastal area",0
another of his colleagues,482000
the former Prime Minister,4620000
a prominent figure in contemporary critical theory,2
SOFCs,323000
the return of the US Navy,281000
the situation,564000000
The Republican National Committee's finance director and his deputy,1
Larry Karaszewski,61600
the recession,10900000
Haiti,357000000
The Polish government,549000
federal programs,9020000
soldiers,366000000
Recent tour-mates,1660
Mexican armed forces,20800
director,2470000000
Liu,637000000
Bridge,1050000000
one administration official,17300
Tuesday's policy changes,3
Mr. Dorfman,5960
The best of the crop,1820000
remote parts of the city such as the Nong Chok district where traditional Thai Muslims still live,0
business data,17600000
one scene in the movie Big where the young Tom Hanks character gets,2
them,10430000000
the judge,92900000
"a mathematician, who later become an associate professor at the faculty of Engineering of the Sapienza University of Rome",1
stock-market volatility,4380000
the flames,29300000
land,2190000000
him,3640000000
"the VHS version of their single ""Bohemian Rhapsody ""titled ""Every Mistake Imaginable ""in which the band discusses that they have to record an extra three minutes of footage for the single to be chart eligible",1
the CCP's current control on news,0
ad rates,12500000
Civil War,196000000
several more days,292000
the contest months,703
Pipe Masters,79600
the Rio Chama in the U.S. state of New Mexico,2
"Stamford Bridge, home of Chelsea",8560
various representatives of the genus Cardamine,0
the band,197000000
El Mariachi,1130000
the possibility,695000000
The team,1130000000
a hero in the eyes of many post-War Italian fascists,5
Sutton,122000000
half a world,18600000
Peter Coors,3490
the man three times,49500
Pfitzner,428000
a dictatorship conserving some of the liberties and mechanisms of democracy,5
"Plock County, Masovian Voivodeship, in east-central Poland",0
