Entity,average_probability
ECFA issues,271
This member,9030000
its plants,590000
the golf course,24300000
office,5050000000
a series of workshops across ASEAN,1
South America,346000000
Abba-Zabas,356
The vehemence of the emotions aroused by the case,0
"Time, the largest newsweekly",2
the lead,353000000
A Philippine politician whose family was allegedly murdered to stop him running for governor,0
Ethiopia,448000000
Order of the Golden Fleece,174000
police officers,88600000
"Killorglan, the place where Puck Fair takes place",1
Cosby,14400000
economic aid,896000
the trophy,22600000
London,2280000000
their return to Taiwan,15700
Replacement bocce balls,695
the airport,176000000
late September,14600000
a few shows,1470000
the impact of the spreading ash cloud,0
Your Brain on Music,87000
A sixth person,38500
the war,450000000
"the Crib ""is the second single by American",5950000
"Los Angeles, California",118000000
the trade unionists,290000
the Clinton administration,1070000
foreigners,87100000
each time a quarterback ranted or raved,0
a nuclear bomb,3330000
Erwin Ringel,1580
Arab and Persian,131000
Gaza,271000000
the-LCB-government-RCB-bond market,0
his life,417000000
The foundation stone,4480000
the Seychelles,5550000
Manchester's drizzly climate,3
the Pet Shop Boys,233000
Seven Springs Farms,7750
the Panamanian capital,5600
Some of them,978000000
the Baton Rouge police chief and the serial murder task force,0
a fourth consecutive overall victory,7
Rome at which Enrico died,1
the newly released papers,909
the circle of elite,52500
Biskupiec bis' kupjec,0
the various Indian cultures,6940
imprint,342000000
Emerson,87100000
Such money,861000
the three releases,45000
a press conference,36400000
a sharper rise,14200
her front lawn,68500
helos that are flying by or any other ships that are coming in through here,0
Millonarios,4840000
ACC referee Ron Cherry,31
paper,2620000000
a year and a half,44900000
"the actress selected by Victor Hugo to create the part of Guanhumara in Burgraves at the Comedie-Francaise, where she remained ten years",0
Mae Marsh,43500
the city,1280000000
the Victoria Aces,106
victory,587000000
a single weekend,241000
Hanna-Barbera Productions,114000
moves,955000000
a free agent,30400000
Chrysler,87600000
Physical attractiveness,1050000
Fink,46700000
their opponents,15700000
The World,5310000000
EC,454000000
The Dancing House,56500
New clubs to join,28800
The head of an Ayllu,10
the War of the Fourth Coalition,9420
Common examples,9710000
the battle in heaven he has provoked,5
its lower operating costs and due to a large loss on securities holdings in the earlier period that came off of its books,0
Espacenet,573000
the bombing,9080000
broad Israeli public support,3
Faxanadu,48600
"a draw including the AFC, CAF, CONCACAF and OFC champions",1
Modern attention to domestic violence,54
the name of the stimulant,33100
The central issue,2260000
the top of the Billboard charts,128000
the site of the station,2550000
his Abitur,12000
The date,783000000
The three main candidates,20900
the United States President Gerald Ford and French president Giscard d'Estaing,4
"the Al Merreikh Stadium, Omdurman (Sudan)",1
the same and the area of mutual interests,0
a house,306000000
her campaign,5900000
critical acclaim,16600000
the Wikipedia page,1050000
Aizutakada,10
power,4580000000
"a parish church in the Church of England in Willoughby on the Wolds, Nottinghamshire, England",2
USA,3120000000
the Emirates Stadium,1630000
the reasons for this difference,4190000
Iraqi Prime Minister Allawi,726
"their international debut album, Identity Crisis",2
CIA,95200000
a crew of four,476000
an independent private bank,3450
Mike's wines,185
Persuasion and Emma,18500
tramadol,8690000
Olympique Lyonnais (Lyon),28500
California's roads and bridges,559
dedication and perseverance,4740000
three months,282000000
the word meze,555
instances when the Sinhalese kings tried to employ them as mercenaries by renaming a section of the most hardcore fighters as Mahatantra,1
a modest wedding breakfast,161
an unstable talus slope,10
the American Revolutionary War,1470000
Beijing's austerity programs,0
Athens,194000000
himself,1260000000
the third largest LDS retail bookstore,0
relegation,14700000
the divisions that led to the war,5
the Hungarians,460000
the investigation into her death,81300
Bishops,32900000
seven matches,994000
That appearance,544000
the historic covered bridge,15500
her absentee ballot,11700
"his well-known monumental picture, the Arrival of the Hungarians",2
TIME magazine,21200000
Canada,3380000000
Mr. Dinkins,7250
Karnataka,396000000
department stores,46500000
"New York, Chicago, Washington, DC, Philadelphia, San Francisco, and Los Angeles",0
Rimske Toplice,80800
The two countries,33200000
the door,433000000
Aleksandrowka aleksan' drufka,0
These two servers,78700
CEO,1030000000
Baba Hari Dass,18100
hold,2410000000
terms of its ranking within Latin America,0
Greater Poland,842000
Her,6900000000
his career,252000000
the corner (it was excluded from the district because it was a different size and shape from the Balding houses),1
a blow,37300000
the key,1280000000
road,2540000000
additional investors,107000
comment,3530000000
the farthest upstream Mississippi River port capable of handling Panamax ships,169
The U.S. Senate,14500000
Reports,3090000000
The iPad,19900000
Blackmore replacing Edwards,3
The mission,238000000
American historian,546000
over-exposed market participants,1
Anapa,792000
"social exchange theory, equity theory, relational dialectics, and attachment styles",569
the judicial process,3100000
"Charles Mudede of The Stranger said ""It",7640
all these issues,31600000
Jones Parry,30800
his own genre,88700
dysfunctional approaches that are intended to help but in fact,5
A team of US Air Force experts,293
Cheltenham College Junior School,3710
the Standard,887000000
much-needed support,1630000
part of efforts,14000000
"the alleged misuse of public funds for overseas trips by Miaoli County commissioner Fu Hsueh-peng, along with county councilors Lo Hsing-chun and Hsieh Ching-chuan; alleged breaches of the Securities Transaction Law by leading brokerage owner You Hwai-yin; alleged financial fraud by national legislator Lin Jui-tu; and alleged corruption by Tainan mayor George Chang in connection with a canal dredging project",0
mainframes,2400000
the floodplain of the East Fork of the Quinault River,1
an internal probe,95300
The mechanism,277000000
Wheat Ridge,4250000
the vast majority of its territory-previously,1
dozens of Creole-speaking doctors and nurses,1
The explosions,2700000
center and power,11100000
the landing spot,121000
Carl Edwards,524000
Farrell,95400000
a detachment from the regiment,14000
its human driver,3720
"several world class golf courses including Pezula Golf Course, Simola Golf Course and the well established Knysna Golf Course",16
something we'll deliver it to you,1
two weeks,415000000
The earliest evidence of wild barley in an archaeological context,128
the negotiating table,1710000
the NBA record,155000
the stock,169000000
Powerful explosives,35900
warnign shots,3
the webcomic xkcd and the satirical news organization The Onion,1
the Archbishop of Dublin,116000
"Mostafa Rahmani, head of the Iranian office in Washington",1
"Suzanne Pleshette, Rod Taylor, Jane Russell (playing herself entertaining for the USO in a flashback sequence), Wally Cox",0
England coach Fabio Capello,8770
Gap,1100000000
young guys with their personalized photo albums and their dressing,1
suspicions,29700000
more than a year,242000000
European investors,284000
the first edition of the Games (organised by IFIUS),1
retail group Parkson,62
"the Tenth Amendment, not the Second Amendment",0
South Carolina as a delegate,9750
The verdict by Moscow City Court,0
the personal income tax,596000
Opole-Raciborz,52
hand,3980000000
the Mine Ban Treaty's provisions,4
Switzerland,1320000000
"the whole of northern Luzon is bracing for the impact of supertyphoon Megi hours before it made landfall Monday, abs - cbnnews",0
several European countries,2160000
Excello,696000
a rope-you just need,6450
the tradition,68400000
the Greens,19700000
"the Israeli military, and not the Lebanese",1
This calamity,335000
Rosenborg BK,3130000
medical instruments such as blood-oxygen monitors and ear thermometers,0
Gordon Zahler,1130
dispute cases involving foreign investment enterprises accepted by Tianjin,0
The film,581000000
equity,1770000000
a gun,95600000
the U.S. diplomats,319000
me,7650000000
The ruffly bits,19
Benjamin Netanyahu,18000000
various world championships and Olympic Games,450
part of the FA Premier Reserve League,3
"Lyon, France",15600000
the borough,16200000
the government,1020000000
right,8950000000
U.S. car and truck sales,2390
the FA Cup,9910000
a slow sales,27400
a normal pregnancy,360000
"a Turcophone Christian, possibly Uighur, and Serkis (from the Roman and later Christian name ""Sergius ""or ""Sarkis "") a Nestorian, possibly Syrian or Armenian",0
NBC television's,6010
Simon,750000000
farmers of considerable skill,2
the insulation,18000000
the ruling criminal regime,8
Norman Conquest,1450000
"Fortabat, whose marriage to Magdalena Corti Maderna ended in divorce",1
place in a large baking pan or dish,1
practices,2310000000
the Spanish association for the conservation of European bison,1
NATO's Partnership for Peace (PiP) program,5
the places least damaged by the quake,1
a former Romanian football player and football manager,0
president,1970000000
Such features,7250000
the Palmach's First Battalion in Operation Yiftach,0
The state attorney,6930000
Mr. Vila,4030
his excellent performance,132000
early medieval Ireland,60400
pAsia,541000
lack of cooperation,12100000
Crown Prince Qi,3500
a county emergency official,328
intercity services,156000
Judy Miller,241000
Binod Kumar Singh of CPI (ML) L,0
the German author,148000
the foundation,460000000
Biological patents,3450
some fancy stuff,29400
"central New Mexico, Arizona and southern California",4
Rob Ryan--who is also Cleveland's defensive coordinator--Rex Ryan,0
society,2630000000
The statement,175000000
NATO,113000000
Mosul,4740000
the fifth grade,1570000
Hallyday's operation,0
adult film viewers,1650
Cherokee County,4070000
a scandal involving false representations of progress of the construction of three properties in the Jumeirah Lake Towers development,0
a statement,419000000
"Radomsko County, Lodz Voivodeship, in central Poland",0
the main-stream Hinduism,241
the original GATT members,1030
Critiques of Human Rights Philosophers who have criticized the concept of human rights,0
a Gaul,65200
The publication,238000000
Robin Hoods,374000
minutes,3820000000
the steps,502000000
the other candidates,4760000
wheels,432000000
few economic policy changes,5
new techniques,26400000
"every aspect--from the private agencies, from ACS to the courts, from the failure of any state department of oversight",0
the highly successful Rocky Horror Show,4
sources,4700000000
the island of New Guinea Friday,1
about five months,1290000
The band,197000000
the website of The Sun Herald,3
the trailers,6840000
"Other extensive parts, including the living room and the dispensary",3
the all-time closed-course speed record,4
Montreal Canadiens,12000000
a delegation of Hong Kong legislators,0
"Mr. John Luo, chairman and administrative president of Wellcome, who came to China",0
its home games,266000
prime minister,302000000
Alberta Party supporters,277
the Farnworth county constituency,1
A second Jordanian official,1
King James VI to Catholicism,5
Hoke,8780000
equities markets,167000
Orders,1540000000
the branch of the Metropolitan Line,2
Agatharchides,16600
its entirety in the film Manic,0
"the Cook County Bar Association, the Justice Coalition of Chicago and others",3
stimulus monetary policies and economic structural adjustments,0
a very close match for the odd-footed enantiornithine bird,2
a grave threat to international peace,12000
a village and municipality in the Lerik Rayon of Azerbaijan,126
funds,1300000000
The reservoirs,2550000
the first American deaths,2900
executive chairman of Rothschild International,40
the second night in a row,203000
Mendelssohn,7410000
hallucinations,38000000
Chordeleg,50800
Moby's first acclaimed electronica album,1
Administration officials,2470000
efforts,2370000000
calm investors,30500
employee privacy,449000
"Port of Spain, Trinidad",4920000
the data,1720000000
Book,4720000000
the Sundance Film Festival,1280000
many Ethnic Minority Party candidates,1
the nearby village of Livenka,2
the Southeastern United States,5030000
The Federal Coordinator (director of the agency),1
DeLay's wife,219
a big step,17800000
an occasional game of tennis or the like,0
marchers,3040000
The Rwandan government,271000
his cabinet and King Albert II,0
contact,18620000000
Gloucestershire,28800000
a meeting,248000000
the first election,1010000
the worldwide web (internet) came,0
the predominant Muslim north,8
"Montana Mountain, Mount Nansen, and the Bennett Lake, Mount Skukum and Sifton Range volcanic complexes",2
reporters,164000000
agencies on a credential system for BP cleanup contractors,0
North of the town center,306000
leagues,204000000
June,3860000000
"other, far-reaching repercussions",168
Washington's proposal,7560
"various athletes who dress ""bianco-rosso ""(white-red)",1
The problem,1020000000
The Faroe Islands National Art Museum,165
justice,1640000000
a convention with the German state of Rhineland-Palatinate,1
class the next day,1960000
the end of the year,464000000
"Donald Harty, president of Charisma Group Inc., a New York franchisee of Grand Metropolitan PLC's Burger King chain",0
Mexican officials,244000
shares,1700000000
the same day the CPA was formed,0
distant third,369000
investors holding foreign money,117
his way,153000000
The German champions,139000
official data,10800000
the birth of Jesus,7440000
individuals,2330000000
a narrowing of interest rate differentials between the U.S. and West Germany,0
the Richard Rodgers/Stephen Sondheim,60
hung parliament,453000
D'Amour,10700000
that time,645000000
"The actress, who is riding high on the success of Fashion and Dostana",1
Arthurian Legend,1160000
a polarizing figure,147000
the writings of Adomnan,1
his son Christopher using that story (minus some elements all too obviously evocative of World War I warfare) and compressed versions from the different versions of the Annals and Quentas as various sources,0
its own in-house production facilities,2440
Towel Day,106000
traffic,2720000000
they,14310000000
Ottawa,210000000
Palestinian Authority,5280000
Infants,280000000
his first year,21600000
Gabriel,306000000
the neighbouring town of Lannion,8
a very special room,58600
Atkinson,82700000
Seth,202000000
some strongholds,8000
the departure point one,2920
"a variety of weapons, outdoor survival skills",20
residents,1240000000
the City Government,13100000
Ilias Kasidiaris,7600
a question,1070000000
Dissonance,22000000
the cycling leg of the Youth Olympic Games girls,0
that of the United States' FBI,0
Maharashtra,428000000
Azure,403000000
a spot,121000000
the Pittsburgh Sobor,1
its author,14300000
an ant,9890000
The Big Board,1080000
uranium,35900000
the mall-and,9450000
Napoli,54900000
the first nine months of the year,675000
Many a piglet,13800
a June EC summit,0
the resolution approved Thursday,434
The screenplay,12000000
S.L . Benfica,4850000
The UN mission in Afghanistan,88100
"Los Angeles, California, including, with Milla Jovovich, the controversial The People Tree Sessions",0
director of the National Economic Council Lawrence H. Summers,7
your sense,17500000
the first woman to cross the island of New Guinea,1
the advanced economies,288000
The news,814000000
Factories,136000000
farmers,440000000
Andrew,1070000000
Witnesses,158000000
other US warships,9860
flags,348000000
the defense ministers' meeting,17700
each contributor adding to the thread that moves me in a sonambulant noiseless rush toward the truth,0
helmeted firemen and building inspectors,0
Riot officers in the Paris suburb of Nanterre and the southeastern city of Lyon,2
the west of Hull city centre,3880
time for New Year,6550000
their first spring training game,6360
oversight of Wall Street,37800
a better use of these language training resources,0
the invitation of the Amphilochian Argives,0
disable candidates,3110
the revenge play,6500
any attempt,24800000
"the Repulse Bay, where all deities gather",0
Saint George,10200000
the reporter,23800000
American Telephone & Telegraph Co.,28600
A car,586000000
medium-and small-sized companies,20500
its failure,8140000
funds for development,4710000
approval of the natural gas chemical industry project,0
"old, obsolete technology, as inspired by Hans Holbein the Younger's The Ambassadors",1
the draft statement,147000
Norm,247000000
music,4220000000
"Eurasia east to Western Siberia, south to Algeria and on the Atlantic islands",37
Terry Labonte,287000
Only one modern example of a national agrarian experiment,0
"Winchester School and Trinity College, Cambridge",552
a brief stay in the AHL,1
the standards for listing of that organization,0
a passport or permanent residency which would allow them to play with Israeli status,27
Individuals affiliated with the Church of Scientology,2
ways,4690000000
the Middle East,334000000
Jim Gilliam,84500
Veronica and Nick,32700
Hebrew and Aramaic texts,14500
fundamentalist extremists such as Warren Jeffs and Dan Lafferty,1
"the moral hypocrisy at the heart of ""Settle the Score",1
cyclohexane,6490000
addition,3290000000
any similar facility across this land,1
Munster Rugby,3320000
the Panama Canal,5460000
Christoph Willibald Gluck,139000
the basic state policy of resources conservation and environmental protection,1
such companies,5340000
world domination,9950000
"Former Democratic fund-raiser Thomas M. Gaubert, whose savings and loan was wrested from his control by federal thrift regulators",0
a roundabout dog,327
the deadliest attack,407000
the process,1780000000
a report,429000000
a ferry,14400000
a strong global economy,62800
the St. Patrick's Day celebrations,280000
This embassy,132000
Steve Jobs,26000000
"its format as a compilation of mostly unissued leftovers from various sessions, and given its rather short running time",2
Tuesday's attacks,29100
The rally,14700000
"the promoter, a portion of (her) payment",2
biology,1500000000
Sri Lanka,638000000
"Haldimand-Norfolk, Niagara Falls, Niagara West-Glanbrook, and Welland ridings",1
others,5130000000
That year,210000000
his first state dinner,13000
Ruslan Ponomariov and Veselin Topalov,95
"Even more of a coincidence, the house that the Knights club arranged for Li Yan",0
a moderate pace,380000
the Colorado ranch,16500
U.S. stocks,18300000
just a few days,104000000
FBI agents,3720000
"Europe's governing volleyball body, the Confederation Europeenne de Volleyball",0
The video,1120000000
the victims,84600000
The company,1210000000
Dr. Seuss,27100000
this year's selection,128000
Her Secondary and Higher secondary studies,4
a result of your ultimatum,5
a brief recess,83400
federal politics,3400000
Mr. Mahfouz,5590
Major department stores,296000
Collier's Weekly,50500
Paris,1320000000
Two years,836000000
"Movies like Your Highness, books such as A Song of Ice and Fire, and countless online websites",0
The Stripe-throated Wren (Cantorchilus leucopogon),3
"the remote mountainous region, where heavily armed tribesmen hold sway",2
the average loss,470000
New York Yankees,45500000
guiding Derby County,164
a great deal of money,18600000
Most small businesses,719000
New York high school men,3
the week that ended Wednesday,1350
field of the shield,798000
a James Milner own goal,9
engineering and medical troops,241
Malcolm McDowell,597000
"the Huemul, Cougar, Andean Mountain Cat, Camelids and, for birds, the Partridge",0
the litigation,11300000
its second bowling power play,1
a god in China,206000
the player piano,146000
BC,737000000
